Feature,AbsoluteEffectSize,PValue,Importance,EffectRank,ImportanceRank,PValueRank,CombinedRank
MDVP:Jitter(%),0.39419865070966215,0.002543707286395767,0.07127155799342033,7.0,1.0,1.0,9.0
MDVP:Fhi(Hz),0.518032692592059,0.01441035126256618,0.05737378054120851,3.0,6.0,5.0,14.0
Jitter:DDP,0.21485177335339117,0.010327377251557487,0.06659976726784302,10.0,3.0,2.0,15.0
MDVP:RAP,0.21485177335338396,0.010327377251557487,0.06815784363491142,11.0,2.0,2.0,15.0
MDVP:Fo(Hz),0.5460634979220078,0.023096456694026272,0.059174222626885375,2.0,5.0,9.0,16.0
PPE,0.45559944601728564,0.016213066653301137,0.05441681441648711,5.0,8.0,6.0,19.0
MDVP:APQ,0.5720945708716624,0.021979152762409925,0.04000813017880381,1.0,13.0,8.0,22.0
MDVP:Shimmer(dB),0.5103838471032384,0.028755765766299065,0.0544320167569221,4.0,7.0,11.0,22.0
MDVP:Flo(Hz),0.4171963048493454,0.06826096581553384,0.061126038358381665,6.0,4.0,13.0,23.0
MDVP:PPQ,0.18891578563344932,0.016213066653301137,0.04849587145395163,14.0,9.0,6.0,29.0
D2,0.3821010445229839,0.02610784403871835,0.04010074730409301,8.0,12.0,10.0,30.0
spread2,0.15663001750316802,0.010611936679756889,0.03794414776758165,15.0,15.0,4.0,34.0
MDVP:Jitter(Abs),0.03891990203343812,0.16639426037560412,0.04419116283340366,19.0,10.0,14.0,43.0
Shimmer:APQ5,0.35324303751846753,0.23956912045855627,0.03287528509896016,9.0,19.0,16.0,44.0
RPDE,0.21445022777214817,0.200554362983402,0.03524845344602916,12.0,17.0,15.0,44.0
spread1,0.15452768191678143,0.06342532455854817,0.03412271577758703,16.0,18.0,12.0,46.0
HNR,0.07468964284972278,0.6066764348538746,0.04132286912389667,18.0,11.0,18.0,47.0
MDVP:Shimmer,0.2091006847557495,0.2965704149545526,0.026439018590729113,13.0,20.0,17.0,50.0
DFA,0.11735154730851159,0.9284939415840451,0.03901832864628124,17.0,14.0,22.0,53.0
NHR,0.017887499029544427,0.6066764348538746,0.037710667679700355,22.0,16.0,18.0,56.0
Shimmer:DDA,0.029134589194735914,0.8985248389822307,0.02372603767628002,20.0,22.0,20.0,62.0
Shimmer:APQ3,0.029134589194734137,0.8985248389822307,0.026244522826642948,21.0,21.0,20.0,62.0
