FeatureA,FeatureB,Correlation,AbsoluteCorrelation
MDVP:RAP,Jitter:DDP,1.0,1.0
Shimmer:APQ3,Shimmer:DDA,0.9999999999999997,0.9999999999999997
MDVP:PPQ,Jitter:DDP,0.9955882649747096,0.9955882649747096
MDVP:RAP,MDVP:PPQ,0.9955882649747084,0.9955882649747084
spread1,spread2,0.9692818118129002,0.9692818118129002
MDVP:Shimmer(dB),MDVP:APQ,0.9671879036615773,0.9671879036615773
MDVP:Jitter(%),MDVP:RAP,0.947922100182472,0.947922100182472
MDVP:Jitter(%),Jitter:DDP,0.9479221001824716,0.9479221001824716
MDVP:Jitter(%),MDVP:PPQ,0.9428232596112462,0.9428232596112462
MDVP:Fo(Hz),MDVP:Flo(Hz),0.9169100543487656,0.9169100543487656
MDVP:Shimmer(dB),Shimmer:APQ5,0.9118158976936315,0.9118158976936315
MDVP:PPQ,spread2,0.9110649065812073,0.9110649065812073
Jitter:DDP,spread2,0.9025865240612136,0.9025865240612136
MDVP:RAP,spread2,0.9025865240612136,0.9025865240612136
