,MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
MDVP:Fo(Hz),1.0,0.7910868320259629,0.9169100543487656,-0.02346781205285953,-0.4169207162177636,0.01354476292633886,0.011198800574234178,0.013544762926338804,-0.12214137853494174,0.014534418162270094,-0.23695828879067785,-0.08414971112028645,0.030984462709883774,-0.23695828879067576,-0.4803740500044558,0.492868432667295,0.2592467336877249,-0.17484220515301424,0.07149243276491528,0.08280396553518345,0.056880239466586366,-0.18914726257857892
MDVP:Fhi(Hz),0.7910868320259629,1.0,0.6347732851483211,0.25759427956457986,-0.09933185267942739,0.3034103242119622,0.30118404875716825,0.30341032421195996,-0.09731679605024803,0.13647775196954434,0.022363689436424118,0.13240723810621863,0.14719357122221496,0.02236368943642684,-0.29608092200893066,0.25382965177241795,0.13613626723379674,-0.09807157111974986,0.5184351752304581,0.5258360146598107,-0.05131267373562919,-0.4034479541784685
MDVP:Flo(Hz),0.9169100543487656,0.6347732851483211,1.0,-0.3375750028520322,-0.6030859729411923,-0.3150839618745346,-0.31865567869778305,-0.3150839618745369,-0.1521319729497642,-0.06263963692940347,-0.2954273488414579,-0.16901904450808145,-0.05647334421432264,-0.29542734884145655,-0.517955252628098,0.557572642515604,0.3203796285484244,-0.24096910772104263,-0.2444929854559757,-0.22940387621154043,0.16883834798107683,-0.014283886400878801
MDVP:Jitter(%),-0.02346781205285953,0.25759427956457986,-0.3375750028520322,1.0,0.8553667244624545,0.947922100182472,0.9428232596112462,0.9479221001824716,0.16004761431977843,0.295061544762113,0.2146755339101677,0.3055585052347892,0.3346178632786833,0.21467553391016958,0.3483471134205327,-0.40979713422133646,-0.24349993720990137,0.21546753754871042,0.8140193455750745,0.8161917410737959,-0.4381270776177685,-0.21711975453796226
MDVP:Jitter(Abs),-0.4169207162177636,-0.09933185267942739,-0.6030859729411923,0.8553667244624545,1.0,0.8166067096612792,0.8111960376215844,0.8166067096612774,0.16652836793113723,0.21184703983896527,0.21489456104577426,0.24207498229686497,0.228384608081881,0.2148945610457748,0.5232759015222853,-0.5338184945512416,-0.24778952108094215,0.23214495767115204,0.6738311253193757,0.6749236569629558,-0.3750498173009049,-0.11493059176177348
MDVP:RAP,0.01354476292633886,0.3034103242119622,-0.3150839618745346,0.947922100182472,0.8166067096612792,1.0,0.9955882649747084,1.0,0.0802577433294679,0.2160171066104573,0.1706041894417062,0.24431002050177253,0.2470565288724783,0.17060418944170763,0.21822871734711144,-0.2792666239382632,-0.1674494323396854,0.2283715934586735,0.8867534640791067,0.9025865240612136,-0.3477828063004789,-0.4022654547129597
MDVP:PPQ,0.011198800574234178,0.30118404875716825,-0.31865567869778305,0.9428232596112462,0.8111960376215844,0.9955882649747084,1.0,0.9955882649747096,0.06691069538259871,0.20325434958268973,0.15617472008264002,0.2305727517891919,0.2390440478707384,0.15617472008264158,0.1831545828042756,-0.2512520493378601,-0.15743920780237472,0.23668691440868134,0.8894266971667049,0.9110649065812073,-0.3152739586698452,-0.43379976559687594
Jitter:DDP,0.013544762926338804,0.30341032421195996,-0.3150839618745369,0.9479221001824716,0.8166067096612774,1.0,0.9955882649747096,1.0,0.08025774332946894,0.2160171066104579,0.17060418944170572,0.24431002050177206,0.2470565288724786,0.17060418944170713,0.21822871734710986,-0.27926662393826124,-0.1674494323396827,0.2283715934586713,0.8867534640791075,0.9025865240612136,-0.34778280630047437,-0.40226545471295894
MDVP:Shimmer,-0.12214137853494174,-0.09731679605024803,-0.1521319729497642,0.16004761431977843,0.16652836793113723,0.0802577433294679,0.06691069538259871,0.08025774332946894,1.0,0.8606183136028981,0.5835764260988997,0.7091560529955705,0.8033686389264871,0.5835764260989001,0.6284372797087266,-0.6290951230060157,-0.2239039855352007,0.2248724832287992,0.03581179162465173,0.0006138587379059199,-0.12406488270228141,0.1084021981676142
MDVP:Shimmer(dB),0.014534418162270094,0.13647775196954434,-0.06263963692940347,0.295061544762113,0.21184703983896527,0.2160171066104573,0.20325434958268973,0.2160171066104579,0.8606183136028981,1.0,0.7063401847933449,0.9118158976936315,0.9671879036615773,0.7063401847933456,0.5218008512730137,-0.5260824245196206,-0.162342419064598,0.1905130759008992,0.19970098902510602,0.1914895370197974,-0.15472331157880886,0.07333961717766839
