Feature,Count,Mean,Median,Std,Min,Max,Q1,Q3
MDVP:Fo(Hz),81,172.37522974900676,182.18356996722045,50.784454521088044,83.28937808711726,294.80770926663547,125.26628768788942,204.36116024653643
MDVP:Fhi(Hz),81,191.08203347508214,188.30018349522012,72.34854210115691,87.84514175673752,570.8194152013061,139.44547043494077,225.2251192010744
MDVP:Flo(Hz),81,159.57576449721796,163.92483081052745,48.214672590561584,78.26112418593385,274.0997614345852,115.24475340612052,194.9405751254965
MDVP:Jitter(%),81,0.002333922008801733,0.0019164070836065,0.0015886143439402462,0.0007956733693724,0.0093681343860348,0.0014069031176371,0.0028025621233111
MDVP:Jitter(Abs),81,1.5420396585024885e-05,1.1526672814970308e-05,1.3168452127537966e-05,3.983465325513175e-06,9.576930287381664e-05,7.725253226306585e-06,1.7466251303900414e-05
MDVP:RAP,81,0.0011921325022595183,0.0009574889830062,0.0009240577741925852,0.0005063034253267,0.0058875616852179,0.0007479568829185,0.0011806001520685
MDVP:PPQ,81,0.0018422207960990629,0.0013564537280585,0.0016621846858185648,0.0007375906036338,0.0104008076002978,0.0011202084209207,0.0019006226126749
Jitter:DDP,81,0.003576397506778668,0.0028724669490187,0.002772173322577754,0.0015189102759801,0.0176626850556537,0.0022438706487557,0.0035418004562057
MDVP:Shimmer,81,0.02605172687154586,0.0237515236720052,0.00909603311545459,0.0072209783539776,0.054430705475702,0.0192672890253925,0.0311446647826772
MDVP:Shimmer(dB),81,0.2585838495071361,0.2319830544028009,0.1074369036614103,0.0648825987460384,0.6568538079340211,0.1771056709626408,0.3018683642177858
Shimmer:APQ3,81,0.007884210710953441,0.0071293941071267,0.0035881739209100523,0.0024175569963486,0.0174671710921508,0.0052710615917922,0.0093083135053043
Shimmer:APQ5,81,0.012908716739631612,0.0115410475626906,0.006042193417038883,0.0035017480829126,0.0336163316851089,0.0084937722004401,0.0156828472023193
MDVP:APQ,81,0.030089182125479935,0.02647598275489,0.014907113898924986,0.0071641500636335,0.0850832639434071,0.0197374489613744,0.0353512571693607
Shimmer:DDA,81,0.023652632132860424,0.0213881823213803,0.010764521762730154,0.007252670989046,0.0524015132764524,0.0158131847753766,0.0279249405159129
NHR,81,0.172405545996581,0.1233510930660216,0.14762485181079965,0.0185284598777819,0.6466440695649286,0.060485714036427,0.2258937939218862
HNR,81,9.234205138864723,9.088569976907571,3.9358257819362192,1.893347010287081,17.321606785968466,6.46095700476285,12.183471881207751
RPDE,81,0.23866672318259952,0.2063389441014898,0.11895872551504395,0.0724639499089901,0.6077217147637092,0.1577351196164524,0.2985041652636197
DFA,81,0.11123029515922554,0.0844833692049126,0.074922446170432,0.0220810245952431,0.3520188163010447,0.0632915185588371,0.155207478227395
spread1,81,0.039185849156744265,0.0154406826906646,0.07329185103548327,0.0056051730268289,0.4416439585616445,0.0106249884807093,0.0236041583377312
spread2,81,0.008329747445844497,0.0035341152705796,0.015778480808274646,0.0021268931116956,0.0974930872600125,0.0029910752172355,0.0055581293576306
D2,81,2.2009990964015893,1.723967898981812,1.4239047722549947,0.8241008878488221,7.473691528040583,1.409318192474011,2.171909733860485
PPE,81,0.5626161372752134,0.588883524263851,0.128831817342954,0.1819639224235456,0.7878435982584697,0.4907798817465562,0.6499300297345328
