Feature,HC_Mean,PD_Mean,HC_Median,PD_Median,MeanDifference,AbsoluteMeanDifference,EffectSize,AbsoluteEffectSize,PValue
MDVP:APQ,0.02601840928767372,0.034261724284231306,0.021857161348105,0.02839047991125965,0.008243314996557585,0.008243314996557585,0.5720945708716624,0.5720945708716624,0.021979152762409925
MDVP:Fo(Hz),159.09244638854946,185.99008269347544,163.70004592209156,186.7399976742539,26.89763630492598,26.89763630492598,0.5460634979220078,0.5460634979220078,0.023096456694026272
MDVP:Fhi(Hz),173.06639194915024,209.5480660391623,179.79684922520178,205.94444663483986,36.48167409001206,36.48167409001206,0.518032692592059,0.518032692592059,0.01441035126256618
MDVP:Shimmer(dB),0.23220091046473226,0.28562636202559993,0.2096677671119241,0.24442006714523115,0.05342545156086767,0.05342545156086767,0.5103838471032384,0.5103838471032384,0.028755765766299065
PPE,0.5341939395097889,0.5917488899847735,0.5368559546020809,0.6105165210265329,0.0575549504749846,0.0575549504749846,0.45559944601728564,0.45559944601728564,0.016213066653301137
MDVP:Flo(Hz),149.7955264834092,169.60050846137193,135.47572857673578,168.27597479360085,19.80498197796274,19.80498197796274,0.4171963048493454,0.4171963048493454,0.06826096581553384
MDVP:Jitter(%),0.002028739396068376,0.002646734186853425,0.0015980131112366,0.0022073856406652,0.0006179947907850492,0.0006179947907850492,0.39419865070966215,0.39419865070966215,0.002543707286395767
D2,2.466452662404142,1.9289091912489724,1.8193999453211624,1.569053435609815,-0.5375434711551696,0.5375434711551696,-0.3821010445229839,0.3821010445229839,0.02610784403871835
Shimmer:APQ5,0.011864624167295197,0.01397891162627643,0.0106750675939713,0.011736761138239099,0.0021142874589812326,0.0021142874589812326,0.35324303751846753,0.35324303751846753,0.23956912045855627
Jitter:DDP,0.003282150657328815,0.003878000527464767,0.0025417901065273,0.00304881701432525,0.0005958498701359523,0.0005958498701359523,0.21485177335339117,0.21485177335339117,0.010327377251557487
MDVP:RAP,0.0010940502191095706,0.0012926668424882149,0.0008472633688424,0.0010162723381084001,0.00019861662337864426,0.00019861662337864426,0.21485177335338396,0.21485177335338396,0.010327377251557487
RPDE,0.2512700383061618,0.22574832518094823,0.2147966708575837,0.19561862764362195,-0.025521713125213563,0.025521713125213563,-0.21445022777214817,0.21445022777214817,0.200554362983402
MDVP:Shimmer,0.025111799853784107,0.027015152064751646,0.0230211237153511,0.024918497557325253,0.001903352210967539,0.001903352210967539,0.2091006847557495,0.2091006847557495,0.2965704149545526
MDVP:PPQ,0.0016868831297928027,0.00200144190406298,0.0012053660123699,0.0014029286508084001,0.0003145587742701772,0.0003145587742701772,0.18891578563344932,0.18891578563344932,0.016213066653301137
spread2,0.0071054539224634245,0.009584648307310097,0.0031299856233214,0.0038007829424202997,0.0024791943848466724,0.0024791943848466724,0.15663001750316802,0.15663001750316802,0.010611936679756889
spread1,0.0335748070105333,0.044937167356610484,0.0127988434247842,0.0179143205876456,0.011362360346077183,0.011362360346077183,0.15452768191678143,0.15452768191678143,0.06342532455854817
DFA,0.11559185789647662,0.10675969335354321,0.0941127947584062,0.08371428910438505,-0.00883216454293341,0.00883216454293341,-0.11735154730851159,0.11735154730851159,0.9284939415840451
HNR,9.380184826563678,9.084575958973293,9.698663815338506,8.39614653124457,-0.29560886759038496,0.29560886759038496,-0.07468964284972278,0.07468964284972278,0.6066764348538746
MDVP:Jitter(Abs),1.5675037744988844e-05,1.5159389396061831e-05,1.0269044918104985e-05,1.2459788092665168e-05,-5.156483489270134e-07,5.156483489270134e-07,-0.03891990203343812,0.03891990203343812,0.16639426037560412
Shimmer:DDA,0.023496797915205966,0.023812362205956235,0.0213881823213803,0.02166591113723575,0.00031556429075026843,0.00031556429075026843,0.029134589194735914,0.029134589194735914,0.8985248389822307
Shimmer:APQ3,0.007832265971735293,0.007937454068652042,0.0071293941071267,0.00722197037907855,0.00010518809691674978,0.00010518809691674978,0.029134589194734137,0.029134589194734137,0.8985248389822307
NHR,0.17371773898291998,0.17106054818558358,0.1071849028039484,0.14467351114823773,-0.002657190797336395,0.002657190797336395,-0.017887499029544427,0.017887499029544427,0.6066764348538746
