Feature,Importance
MDVP:Jitter(%),0.07127155799342033
MDVP:RAP,0.06815784363491142
Jitter:DDP,0.06659976726784302
MDVP:Flo(Hz),0.061126038358381665
MDVP:Fo(Hz),0.059174222626885375
MDVP:Fhi(Hz),0.05737378054120851
MDVP:Shimmer(dB),0.0544320167569221
PPE,0.05441681441648711
MDVP:PPQ,0.04849587145395163
MDVP:Jitter(Abs),0.04419116283340366
HNR,0.04132286912389667
D2,0.04010074730409301
MDVP:APQ,0.04000813017880381
DFA,0.03901832864628124
spread2,0.03794414776758165
NHR,0.037710667679700355
RPDE,0.03524845344602916
spread1,0.03412271577758703
Shimmer:APQ5,0.03287528509896016
MDVP:Shimmer,0.026439018590729113
Shimmer:APQ3,0.026244522826642948
Shimmer:DDA,0.02372603767628002
