Feature,Q1,Q3,IQR,LowerBound,UpperBound,Outliers,OutlierPercentage
D2,1.409318192474011,2.171909733860485,0.7625915413864741,0.26543088039429974,3.3157970459401964,13,16.049382716049383
spread1,0.0106249884807093,0.0236041583377312,0.0129791698570219,-0.008843766304823551,0.043072913123264056,12,14.814814814814813
spread2,0.0029910752172355,0.0055581293576306,0.0025670541403950997,-0.0008595059933571496,0.00940871056822325,11,13.580246913580247
MDVP:Jitter(Abs),7.725253226306585e-06,1.7466251303900414e-05,9.740998077593829e-06,-6.886243890084157e-06,3.207774842029115e-05,10,12.345679012345679
MDVP:RAP,0.0007479568829185,0.0011806001520685,0.00043264326914999995,9.899197919350003e-05,0.0018295650557934998,5,6.172839506172839
MDVP:Jitter(%),0.0014069031176371,0.0028025621233111,0.0013956590056739997,-0.0006865853908738994,0.004896050631822099,5,6.172839506172839
MDVP:APQ,0.0197374489613744,0.0353512571693607,0.015613808207986302,-0.003683263350605051,0.058771969481340156,5,6.172839506172839
Jitter:DDP,0.0022438706487557,0.0035418004562057,0.0012979298074499998,0.00029697593758070025,0.0054886951673807,5,6.172839506172839
MDVP:PPQ,0.0011202084209207,0.0019006226126749,0.0007804141917542001,-5.0412866710600104e-05,0.0030712439003062,5,6.172839506172839
Shimmer:DDA,0.0158131847753766,0.0279249405159129,0.0121117557405363,-0.0023544488354278505,0.046092574126717356,4,4.938271604938271
Shimmer:APQ3,0.0052710615917922,0.0093083135053043,0.0040372519135121005,-0.0007848162784759504,0.015364191375572451,4,4.938271604938271
MDVP:Shimmer(dB),0.1771056709626408,0.3018683642177858,0.124762693255145,-0.010038368920076701,0.4890124041005033,4,4.938271604938271
Shimmer:APQ5,0.0084937722004401,0.0156828472023193,0.0071890750018791996,-0.002289840302378698,0.0264664597051381,3,3.7037037037037033
MDVP:Shimmer,0.0192672890253925,0.0311446647826772,0.0118773757572847,0.0014512253894654534,0.048960728418604244,3,3.7037037037037033
RPDE,0.1577351196164524,0.2985041652636197,0.14076904564716733,-0.05341844885429861,0.5096577337343707,3,3.7037037037037033
DFA,0.0632915185588371,0.155207478227395,0.0919159596685579,-0.07458242094399972,0.29308141773023183,3,3.7037037037037033
PPE,0.4907798817465562,0.6499300297345328,0.15915014798797666,0.2520546597645912,0.8886552517164978,3,3.7037037037037033
NHR,0.060485714036427,0.2258937939218862,0.1654080798854592,-0.1876264057917618,0.47400591375007495,3,3.7037037037037033
MDVP:Fhi(Hz),139.44547043494077,225.2251192010744,85.77964876613362,10.775997285740345,353.8945923502748,1,1.2345679012345678
MDVP:Fo(Hz),125.26628768788942,204.36116024653643,79.09487255864701,6.623978849918899,323.00346908450695,0,0.0
MDVP:Flo(Hz),115.24475340612052,194.9405751254965,79.69582171937599,-4.298979172943447,314.4843077045605,0,0.0
HNR,6.46095700476285,12.183471881207751,5.722514876444901,-2.1228153099045013,20.7672441958751,0,0.0
