Model,AccuracyMean,AccuracyStd,BalancedAccuracyMean,PrecisionMean,RecallMean,F1Mean,ROCAUCMean,ROCAUCStd,Rank
HistGradientBoosting,0.7882352941176471,0.09472460538345834,0.7875,0.8197402597402597,0.75,0.7714979757085021,0.7960069444444444,0.07793572751605511,1
HistGradientBoosting_fast,0.7639705882352941,0.07518000313894857,0.763888888888889,0.7892857142857143,0.725,0.746965811965812,0.7913194444444445,0.09017355094551538,2
RandomForest_300,0.7522058823529412,0.0900427618520096,0.7513888888888889,0.7737012987012987,0.75,0.753796992481203,0.7512152777777777,0.08982189918127353,3
RandomForest_500,0.7522058823529412,0.0900427618520096,0.7513888888888889,0.7737012987012987,0.75,0.753796992481203,0.7496527777777777,0.09478848692265544,4
RandomForest_depth8,0.7522058823529412,0.0900427618520096,0.7513888888888889,0.7737012987012987,0.75,0.753796992481203,0.7496527777777777,0.09478848692265544,5
SVM_Linear,0.7272058823529411,0.0668430481021383,0.726388888888889,0.7714285714285715,0.65,0.7011764705882353,0.7881944444444444,0.04354836693086985,6
ExtraTrees_depth8,0.7272058823529411,0.0668430481021383,0.726388888888889,0.7376190476190476,0.7,0.7131746031746032,0.7690972222222222,0.06175286455593942,7
RandomForest_leaf2,0.7279411764705882,0.09450746478270369,0.726388888888889,0.7616666666666667,0.7,0.7226190476190476,0.746875,0.09185586535436918,8
SVM_RBF_C10,0.7161764705882353,0.028420806014834835,0.7166666666666666,0.726190476190476,0.7,0.7031422825540472,0.8170138888888889,0.026864321019284303,9
LogisticRegression_C10,0.7161764705882353,0.06271157958888351,0.7166666666666666,0.732034632034632,0.7,0.7056877487837239,0.7878472222222223,0.056868173854370124,10
ExtraTrees_500,0.7154411764705882,0.05248990675757277,0.7152777777777778,0.7161904761904763,0.7,0.7031746031746031,0.7597222222222222,0.06036675780204584,11
ExtraTrees_300,0.7154411764705882,0.05248990675757277,0.7152777777777778,0.7161904761904763,0.7,0.7031746031746031,0.7538194444444445,0.05800949711384537,12
KNN_7,0.7147058823529411,0.06725429457223013,0.7138888888888889,0.7214285714285713,0.7,0.706638655462185,0.7496527777777777,0.07718493054402795,13
KNN_5,0.7147058823529411,0.09597207999417487,0.7138888888888889,0.7301587301587301,0.7,0.7121568627450982,0.7335069444444444,0.08512257411202266,14
GradientBoosting,0.7139705882352941,0.13642430756834256,0.7125,0.7464285714285714,0.675,0.7064285714285715,0.7960069444444444,0.10715898844246499,15
GradientBoosting_fast,0.7132352941176471,0.14691169110284913,0.7125,0.7416666666666667,0.675,0.7045238095238096,0.7760416666666667,0.11752843922973615,16
ExtraTrees_leaf2,0.7022058823529411,0.0763432197201024,0.701388888888889,0.713095238095238,0.675,0.6904621848739495,0.78125,0.05590169943749474,17
SVM_RBF,0.7022058823529411,0.0763432197201024,0.7,0.7933333333333333,0.55,0.6483516483516483,0.7670138888888889,0.03338393150478309,18
LogisticRegression,0.6911764705882353,0.06885902804966562,0.6902777777777778,0.7234632034632036,0.625,0.658723732407943,0.7604166666666666,0.06488504792665598,19
GradientBoosting_deeper,0.6889705882352941,0.13896086178225303,0.6888888888888889,0.7027777777777777,0.675,0.6855042016806723,0.759548611111111,0.11112738596085947,20
LogisticRegression_C01,0.6794117647058824,0.016176470588235282,0.6777777777777778,0.6891774891774892,0.65,0.6616541353383458,0.728125,0.06139650845121407,21
