Threshold,Accuracy,BalancedAccuracy,Precision,Recall,Sensitivity,Specificity,F1,ROCAUC,TN,FP,FN,TP,FalseNegativeCost,YoudenJ
0.2,0.5555555555555556,0.5600609756097561,0.5285714285714286,0.925,0.925,0.1951219512195122,0.6727272727272727,0.7646341463414634,8,33,3,37,48,0.12012195121951219
0.25,0.5802469135802469,0.5841463414634147,0.5454545454545454,0.9,0.9,0.2682926829268293,0.6792452830188679,0.7646341463414634,11,30,4,36,50,0.16829268292682942
0.3,0.6049382716049383,0.6079268292682927,0.5666666666666667,0.85,0.85,0.36585365853658536,0.68,0.7646341463414634,15,26,6,34,56,0.21585365853658534
0.35,0.6419753086419753,0.6435975609756097,0.6078431372549019,0.775,0.775,0.5121951219512195,0.6813186813186813,0.7646341463414634,21,20,9,31,65,0.28719512195121943
0.4,0.7283950617283951,0.7289634146341464,0.7045454545454546,0.775,0.775,0.6829268292682927,0.7380952380952381,0.7646341463414634,28,13,9,31,58,0.45792682926829276
0.45,0.7654320987654321,0.7646341463414634,0.8,0.7,0.7,0.8292682926829268,0.7466666666666667,0.7646341463414634,34,7,12,28,67,0.5292682926829269
0.5,0.7530864197530864,0.7521341463414635,0.7941176470588235,0.675,0.675,0.8292682926829268,0.7297297297297297,0.7646341463414634,34,7,13,27,72,0.5042682926829269
0.55,0.7160493827160493,0.714329268292683,0.7931034482758621,0.575,0.575,0.8536585365853658,0.6666666666666666,0.7646341463414634,35,6,17,23,91,0.4286585365853659
0.6,0.7037037037037037,0.701829268292683,0.7857142857142857,0.55,0.55,0.8536585365853658,0.6470588235294118,0.7646341463414634,35,6,18,22,96,0.403658536585366
0.65,0.691358024691358,0.6890243902439024,0.8,0.5,0.5,0.8780487804878049,0.6153846153846154,0.7646341463414634,36,5,20,20,105,0.37804878048780477
0.7,0.6790123456790124,0.6765243902439024,0.7916666666666666,0.475,0.475,0.8780487804878049,0.59375,0.7646341463414634,36,5,21,19,110,0.35304878048780486
0.75,0.7037037037037037,0.7009146341463415,0.8636363636363636,0.475,0.475,0.926829268292683,0.6129032258064516,0.7646341463414634,38,3,21,19,108,0.40182926829268295
0.8,0.6790123456790124,0.6759146341463415,0.85,0.425,0.425,0.926829268292683,0.5666666666666667,0.7646341463414634,38,3,23,17,118,0.3518292682926829
